"filename", "language", "JSON", "Markdown", "JSON with Comments", "Python", "pip requirements", "JavaScript", "TypeScript", "TypeScript JSX", "Ini", "comment", "blank", "total"
"/Users/azarak/projects/intermediate-python/backend/.VSCodeCounter/2025-04-15_22-41-52/details.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/azarak/projects/intermediate-python/backend/.VSCodeCounter/2025-04-15_22-41-52/diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/azarak/projects/intermediate-python/backend/.VSCodeCounter/2025-04-15_22-41-52/diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/Users/azarak/projects/intermediate-python/backend/.VSCodeCounter/2025-04-15_22-41-52/results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/azarak/projects/intermediate-python/backend/.VSCodeCounter/2025-04-15_22-41-52/results.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/azarak/projects/intermediate-python/backend/app/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/app/main.py", "Python", 0, 0, 0, 16, 0, 0, 0, 0, 0, 9, 10, 35
"/Users/azarak/projects/intermediate-python/backend/app/models/__init__.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/azarak/projects/intermediate-python/backend/app/models/db.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 7, 26
"/Users/azarak/projects/intermediate-python/backend/app/models/habit.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 10, 7, 37
"/Users/azarak/projects/intermediate-python/backend/app/models/habit_completion.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 6, 27
"/Users/azarak/projects/intermediate-python/backend/app/models/schemas.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 7, 26
"/Users/azarak/projects/intermediate-python/backend/app/routes/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/app/routes/habits.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 6, 23
"/Users/azarak/projects/intermediate-python/backend/app/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediate-python/backend/app/services/habit_service.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 11, 5, 34
"/Users/azarak/projects/intermediate-python/backend/archive/cli_legacy.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 12, 70
"/Users/azarak/projects/intermediate-python/backend/archive/habit.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 9, 67
"/Users/azarak/projects/intermediate-python/backend/archive/habit_manager.py", "Python", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 12, 59
"/Users/azarak/projects/intermediate-python/backend/config.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/azarak/projects/intermediate-python/backend/habits.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
